id,Booking_status,Probability
42100,0,0.08128555
42101,0,0.03935833
42102,0,0.33504578
42103,0,0.22167104
42104,0,0.47616318
42105,1,0.55181074
42106,1,0.55806506
42107,1,0.7222529
42108,0,1.7604562e-07
42109,1,0.53610283
42110,1,0.65449697
42111,0,0.29116255
42112,0,0.43859398
42113,0,0.16744937
42114,0,0.35786027
42115,1,0.7703114
42116,0,0.05091658
42117,0,0.2820426
42118,1,0.8574261
42119,1,0.8462175
42120,1,0.8624599
42121,0,0.14543292
42122,0,0.010158409
42123,1,0.5524752
42124,1,0.7533801
42125,0,0.004535748
42126,0,1.6164694e-36
42127,0,0.01069122
42128,0,0.41736913
42129,1,0.775692
42130,1,0.85524094
42131,1,0.60118914
42132,0,0.36648828
42133,1,0.9563855
42134,0,0.3910866
42135,0,3.0885705e-15
42136,0,0.05038512
42137,0,0.49935856
42138,1,0.67277217
42139,1,0.82414985
42140,0,0.0057440945
42141,0,0.27897608
42142,1,0.65739435
42143,1,0.84232104
42144,0,0.09659909
42145,1,0.8281678
42146,0,0.07526229
42147,1,0.87462306
42148,1,0.51445705
42149,0,0.34563965
42150,0,0.3363977
42151,1,0.7065748
42152,1,0.7658798
42153,0,0.15813163
42154,1,0.53944755
42155,0,0.45643845
42156,0,0.4413249
42157,0,0.03687199
42158,0,0.279494
42159,1,0.795766
42160,1,0.6788454
42161,0,3.7106029e-06
42162,0,0.0584815
42163,0,0.044660635
42164,1,0.7869686
42165,0,0.39068538
42166,1,0.76694727
42167,0,1.1128707e-08
42168,1,0.694103
42169,1,0.51791734
42170,0,0.019423658
42171,0,0.08464431
42172,0,0.39373145
42173,1,0.8303905
42174,0,0.19028093
42175,0,0.29141146
42176,1,0.88362855
42177,0,0.19148485
42178,0,0.0630129
42179,1,0.84892434
42180,1,0.74148583
42181,1,0.50496644
42182,1,0.66179943
42183,0,0.4887064
42184,0,0.11082052
42185,0,0.20115383
42186,0,0.223547
42187,0,0.3680329
42188,0,0.036721684
42189,0,0.17501903
42190,0,0.34088287
42191,0,0.4454303
42192,0,0.30221897
42193,0,0.36795515
42194,0,0.37052348
42195,1,0.8877173
42196,1,0.83054864
42197,0,0.47749287
42198,1,0.60661703
42199,1,0.515608
42200,1,0.5875632
42201,1,0.6828278
42202,1,0.5002043
42203,0,0.3362136
42204,1,0.7546729
42205,0,0.24770294
42206,0,0.015416038
42207,1,0.75013554
42208,0,0.04930534
42209,0,0.37117225
42210,0,0.3600721
42211,0,0.307071
42212,0,0.3332907
42213,1,0.81825817
42214,1,0.77274704
42215,0,0.49288425
